Key,Translation
configuration:settings:name,Naam
configuration:settings:name_required,Naam is nodig
configuration:settings:network_address_required,Netwerkadres is nodig
configuration:settings:network_interface_required,Netwerkinterface is nodig
configuration:settings:notification,Notificatie
configuration:settings:rpi_pwm_freq,Rpi Pwm Frequencie
configuration:settings:use_https,Gebruik HTTPS
configuration:tab:about,Over
configuration:tab:admin,Admin
configuration:tab:authentication,Authenticatie
configuration:tab:connectors,Connectors
configuration:tab:drivers,Drivers
configuration:tab:errors,Foutmeldingen
configuration:tab:settings,Instellingen
configuration:tab:telemetry,Monitoring
cron:day_of_month,Dag van de maand
cron:hour,Uur
cron:minute,Minuut
cron:month,
cron:second,Seconde
cron:week,
dashboard:back_to_dashboard,Terug naar dashboard
fatal_error:connection_lost,Connectie verloren
fatal_error:fatal_error,Fatale Fout
fatal_error:message,"Er ging iets mis, de UI kan geen contact maken met de server. Probeer de webserver te herstarten of kijk de logs na."
fatal_error:troubleshoot,Troubleshoot
health_chart:cpu_memory,CPU/Geheugen
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,Language
language:nl,Nederlands
language:pt,
language:zh,
log:content,Content
log:emitter,Emitter
log:time,Tijd
log:type,Type
ph:alert_above,Alarm boven
ph:alert_below,Alarm onder
ph:analog_input_required,Analoge Input is nodig
ph:calibrate,Calibreren
ph:chart:current,
ph:chart:historical,
ph:check_frequency,Controleer frequentie
ph:control,
ph:control_required,
ph:controlequipment,
ph:controlmacro,
ph:controlnothing,
ph:current_reading,Huidige meting
ph:lower_function,
ph:lower_function_required,
ph:lower_threshold,
ph:lower_threshold_less_than,
ph:lower_threshold_required,
ph:lower_threshold_type,
ph:midpoint,Middelpunt
ph:name_required,Naam is nodig
ph:period_min,Check Frequentie moet 1 seconde of meer zijn
ph:period_required,Controleer Frequentie is nodig
ph:period_type,Check Frequentie moet een nummer zijn
ph:run_calibration,Uitvoeren
ph:second_point,Tweede punt
ph:status,Ph Status
ph:status_required,Status is nodig
ph:threshold_greater_than,Alarm boven moet meer zijn dan Alarm onder
ph:threshold_less_than,Alarm onder moet minder zijn dan Alarm boven
ph:threshold_required,Limiet is nodig als meldingen zijn ingeschakeld.
ph:threshold_type,Limiet moet een nummer zijn
ph:upper_function,
ph:upper_function_required,
ph:upper_threshold,
ph:upper_threshold_greater_than,
ph:upper_threshold_required,
ph:upper_threshold_type,
ph:validation_error,De Ph instellingen kunnen niet opgeslaan worden door validatiefouten. Gelieve deze te corrigeren en opnieuw te proberen.
ph:warn_delete,Deze actie verwijderd
pins:Pins,
signin:invalidcredentials,Foutieve aanmeldingsgegevens
signin:password,Passwoord
signin:signin,Log in
signin:username,Gebruikersnaam
temperatur:controlnothing,
temperature:calibrate,
temperature:calibration:apply,
temperature:calibration:set_temperature,
temperature:celsius,Celsius
temperature:chart:current,
temperature:chart:historical,
temperature:chart_maximum,Grafiek Maximum
temperature:chart_minimum,Grafiek Minimum
temperature:control,
temperature:controlequipment,
temperature:controlmacro,
temperature:current_reading,
temperature:fahrenheit,Fahrenheit
temperature:heater_cooler,Verwarming/Koeling
temperature:hysteresis_less_than,
temperature:lower_function,
temperature:lower_threshold,
temperature:sensor,Sensor
temperature:sensor_status,Sensor Status
temperature:temperature,Temperatuur
temperature:upper_function,
temperature:upper_threshold,
temperature:validation_error,De temperatuur instellingen kunnen niet opgeslaan worden door validatiefouten. Gelieve deze te corrigeren en opnieuw te proberen.
temperature:warn_delete,
timers:after,Na
timers:and_then,AEn Daarna
timers:day_required,Dag is nodig
timers:duration_required,Tijdsduur is nodig
timers:equipment,Uitrusting
timers:equipment:action,Actie
timers:equipment:equipment,Uitrusting
timers:equipment:off,Uit
timers:equipment:on,Aan
timers:equipment:revert,Omkeren
timers:equipment_required,Uitrusting is nodig
timers:function,Functie
timers:hour_required,Uur is nodig
timers:macro,Macro Naam
timers:macros,Macros
timers:message,Bericht
timers:message_required,Bericht is nodig
timers:minute_required,Minuut is nodig
timers:name_required,Naam is nodig
timers:on_required,Ingeschakeld is nodig
timers:reminder,Reminder
timers:sec,sec
timers:second_required,Seconde is nodig
timers:stay_off,Uit blijven
timers:stay_on,Aan blijven
timers:subject,Onderwerp
timers:subject_required,Onderwerp is nodig
timers:timer_status,Timer Status
timers:timer_status_required,Timer Status is nodig
timers:turn_back_off,Terug uitschakelen
timers:turn_back_on,Terug inschakelen
timers:turn_off,Uitschakelen
timers:turn_on,Inschakelen
timers:type_required,Type is nodig
timers:validation_error,De Timer instellingen kunnen niet opgeslaan worden door validatiefouten. Gelieve deze te corrigeren en opnieuw te proberen.
