Key,Translation
language:pt,Português
language:zh,
lighting:add_point,
lighting:change_mode,
lighting:channel_name,
lighting:chart_color,
lighting:mode_auto,
lighting:mode_manual,
lighting:mode_mixed,
lighting:remove,
lighting:title_delete,
lighting:warn_change,
lighting:warn_delete,
log:content,Conteudo
log:emitter,Emissor
log:time,Tempo
log:type,Tipo
macro:alert:message,
macro:alert:title,
macro:reversible,
macro:revert,
macro:reverting,
macro:run,
macro:running,
macro:steps,
macro:turn_off,Desligar
macro:turn_on,Ligar é Obrigatório
macro:wait:duration,
macro:warn_delete,
ph:alert_above,Alerta superior de
ph:alert_below,Alerta inferior de
ph:calibrate,Calibrar
ph:chart:current,
ph:chart:historical,
ph:chart:usage,
ph:chart_color,
ph:chart_unit,
ph:chart_ymax,
ph:chart_ymin,
ph:check_frequency,Verificar a frequência
ph:control,
ph:controlequipment,
ph:controlmacro,
ph:controlnothing,
ph:current_reading,Leitura Atual
ph:hysteresis,
ph:hysteresis_less_than,
ph:lower_function,
ph:lower_threshold,
ph:midpoint,Ponto médio
ph:run_calibration,Correr Calibração
ph:second_point,Segundo ponto
ph:upper_function,
ph:upper_threshold,
ph:warn_delete,Esta acção vai ser removida
ph:warn_reset,
signin:invalidcredentials,Credenciais invalidas
signin:password,Password
signin:signin,Entrar
signin:username,Nome de utilizador
telemetry:main:current-limit,
telemetry:main:email-alerts,
telemetry:main:historical-limit,
telemetry:main:limit-per-hour,
telemetry:main:send-test-message,
telemetry:notification:from,
telemetry:notification:password,
telemetry:notification:port,
telemetry:notification:server,
telemetry:notification:to,
telemetry:notification:username,
temperature:alert_above,
temperature:alert_below,
temperature:calibrate,
temperature:calibration:apply,
temperature:calibration:set_temperature,
temperature:celsius,Celsius
temperature:chart:current,
temperature:chart:down,Refrigeração
temperature:chart:historical,
temperature:chart:up,Aquecedor
temperature:chart_color,
temperature:chart_ymax,
temperature:chart_ymin,
temperature:check_frequency,Verificar a frequência
temperature:control,
temperature:controlequipment,
temperature:controlmacro,
temperature:controlnothing,
temperature:current_reading,
temperature:fahrenheit,Fahrenheit
temperature:heater_cooler,Aquecedor/refrigeração
temperature:hysteresis,
temperature:hysteresis_less_than,
temperature:lower_function,
temperature:lower_threshold,
temperature:sensor,Sensor
temperature:temperature,Temperatura
temperature:unit,Unidades
temperature:upper_function,
temperature:upper_threshold,
temperature:warn_delete,
temperature:warn_reset,
timers:after,após
timers:and_then,e depois
timers:day_required,Dia é Obrigatório
timers:duration_required,Duração é Obrigatório
timers:equipment,Equipamento é Obrigatório
timers:equipment:off,Off
timers:equipment:on,On
timers:equipment:revert,Reverter
timers:equipment_action,
timers:equipment_required,Equipmento é Obrigatório
timers:function,Função
timers:hour_required,as horas é Obrigatórias
timers:macro,
timers:macros,
timers:message,Mensagem
timers:message_required,a Messagem é Obrigatório
timers:minute_required,Minutos são Obrigatório
timers:name_required,Name é Obrigatório
timers:on_required,Ligar é Obrigatório
timers:reminder,Lembrete
timers:sec,sec
timers:second_required,os Segundos são Obrigatório
timers:stay_off,manter desligado
timers:stay_on,Manter ligado
timers:subject,Assunto
timers:subject_required,o Assunto é Obrigatório
timers:timer_status_required,Estado do temporizador é Obrigatório
timers:turn_back_off,Voltar a desligar
timers:turn_back_on,Voltar a Ligar
timers:turn_off,Desligar
timers:turn_on,Ligar é Obrigatório
timers:type_required,Tipo é Obrigatório
timers:validation_error,"Erro nas configurações de timmer, por favor corrija e tente novamente"
timers:warn_delete,
validation:a_must_be_greater_than_b,
validation:a_must_be_less_than_b,
validation:a_must_differ_from_b,
validation:comma_separated_numbers,
validation:cron_nojoker_required,
validation:cron_required,
validation:date_required,
validation:entry_required,
validation:error,
validation:integer_max_required,
validation:integer_min_required,
validation:last_full_moon_required,
validation:name_required,
validation:number_required,
validation:selection_required,
validation:time_required,
